,trial,NN,O
,-EOS-,eos,O
Sentence: 1287,vascular,none,O
,Research,none,O
,Unit,none,O
,Department,none,O
,of,none,O
,Vascular,none,O
,Surgery,none,O
,Sygehus,none,O
,Viborg,none,O
,DK-8800,none,O
,Viborg,none,O
,Denmark,none,O
,-EOS-,eos,O
Sentence: 1288,to,TO,O
,determine,VB,O
,whether,IN,O
,screening,NN,O
,Danish,JJ,O
,men,NNS,O
,aged,VBN,O
,65,CD,O
,or,CC,O
,more,JJR,O
,for,IN,O
,abdominal,JJ,O
,aortic,JJ,O
,aneurysms,NNS,O
,reduces,VBZ,O
,mortality,NN,OTC
,-EOS-,eos,O
Sentence: 1289,single,JJ,O
,center,NN,O
,randomised,VBD,O
,controlled,JJ,O
,trial,NN,O
,-EOS-,eos,O
Sentence: 1290,all,DT,O
,5,CD,O
,hospitals,NNS,O
,in,IN,O
,Viborg,NNP,O
,County,NNP,O
,Denmark,NNP,O
,-EOS-,eos,O
Sentence: 1291,all,DT,O
,12639,CD,O
,men,NNS,O
,born,VBN,O
,during,IN,O
,1921,CD,O
,to,TO,O
,33,CD,O
,and,CC,O
,living,VBG,O
,in,IN,O
,Viborg,NNP,O
,County,NNP,O
,-EOS-,eos,O
Sentence: 1292,in,IN,O
,1994,CD,O
,we,PRP,O
,included,VBD,O
,men,NNS,O
,born,VBN,O
,1921,CD,O
,to,TO,O
,9,CD,O
,-LRB-,-LRB-,O
,64,CD,O
,to,TO,O
,73,CD,O
,years,NNS,O
,-RRB-,-RRB-,O
,-EOS-,eos,O
Sentence: 1293,we,PRP,O
,also,RB,O
,included,VBD,O
,men,NNS,O
,who,WP,O
,became,VBD,O
,65,CD,O
,during,IN,O
,1995,CD,O
,-8,CD,O
,-EOS-,eos,O
Sentence: 1294,men,NNS,O
,were,VBD,O
,randomised,VBN,O
,to,TO,O
,the,DT,O
,intervention,NN,O
,group,NN,O
,-LRB-,-LRB-,O
,screening,VBG,O
,by,IN,O
,abdominal,JJ,O
,ultrasonography,NN,O
,-RRB-,-RRB-,O
,or,CC,O
,control,NN,O
,group,NN,O
,-EOS-,eos,O
Sentence: 1295,participants,NNS,O
,with,IN,O
,an,DT,O
,abdominal,JJ,O
,aortic,JJ,O
,aneurysm,NN,O
,greater,JJR,O
,than,IN,O
,5,CD,O
,cm,CD,O
,were,VBD,O
,referred,VBN,O
,for,IN,O
,surgical,JJ,O
,evaluation,NN,O
,and,CC,O
,those,DT,O
,with,IN,O
,smaller,JJR,O
,aneurysms,NNS,O
,were,VBD,O
,offered,VBN,O
,annual,JJ,O
,scans,NNS,O
,-EOS-,eos,O
Sentence: 1296,specific,JJ,OTC
,mortality,NN,OTC
,due,JJ,OTC
,to,TO,OTC
,abdominal,VB,OTC
,aortic,JJ,OTC
,aneurysm,NN,OTC
,overall,JJ,OTC
,mortality,NN,OTC
,and,CC,O
,number,NN,OTC
,of,IN,OTC
,planned,VBN,OTC
,and,CC,OTC
,emergency,NN,OTC
,operations,NNS,OTC
,for,IN,OTC
,abdominal,JJ,OTC
,aortic,JJ,OTC
,aneurysms,NNS,OTC
,-EOS-,eos,O
Sentence: 1297,4860,CD,O
,of,IN,O
,6333,CD,O
,men,NNS,O
,were,VBD,O
,screened,JJ,O
,-LRB-,-LRB-,O
,attendance,NN,O
,rate,NN,O
,76.6,NNS,O
,-RRB-,-RRB-,O
,-EOS-,eos,O
Sentence: 1298,191,NNP,O
,-LRB-,-LRB-,O
,4.0,NNP,O
,of,IN,O
,those,DT,O
,screened,NN,O
,-RRB-,-RRB-,O
,had,VBD,O
,abdominal,JJ,OTC
,aortic,JJ,OTC
,aneurysms,NNS,OTC
,-EOS-,eos,O
Sentence: 1299,the,DT,O
,mean,JJ,O
,follow-up,NN,O
,time,NN,O
,was,VBD,O
,52,CD,O
,months,NNS,O
,-EOS-,eos,O
Sentence: 1300,the,DT,O
,screened,JJ,O
,group,NN,O
,underwent,VBD,O
,75,CD,O
,-LRB-,-LRB-,O
,SPECIAL_TERM,VBG,O
,51,CD,O
,to,TO,O
,91,CD,O
,-RRB-,-RRB-,O
,fewer,JJR,O
,emergency,NN,OTC
,operations,NNS,OTC
,than,IN,O
,the,DT,O
,control,NN,O
,group,NN,O
,-EOS-,eos,O
Sentence: 1301,deaths,NNP,OTC
,due,JJ,OTC
,to,TO,OTC
,abdominal,JJ,OTC
,aortic,JJ,OTC
,aneurysms,NNS,OTC
,occurred,VBD,O
,in,IN,O
,9,CD,O
,patients,NNS,O
,in,IN,O
,the,DT,O
,screened,JJ,O
,group,NN,O
,and,CC,O
,27,CD,O
,in,IN,O
,the,DT,O
,control,NN,O
,group,NN,O
,-EOS-,eos,O
Sentence: 1302,the,DT,O
,number,NN,O
,needed,VBN,O
,to,TO,O
,screen,VB,O
,to,TO,O
,save,VB,O
,1,CD,O
,life,NN,O
,was,VBD,O
,352,JJ,O
,-EOS-,eos,O
Sentence: 1303,specific,JJ,OTC
,mortality,NN,OTC
,was,VBD,O
,significantly,RB,O
,reduced,VBN,O
,by,IN,O
,67,CD,O
,-LRB-,-LRB-,O
,29,CD,O
,to,TO,O
,84,CD,O
,-RRB-,-RRB-,O
,-EOS-,eos,O
Sentence: 1304,mortality,NNP,OTC
,due,JJ,OTC
,to,TO,OTC
,non-abdominal,JJ,OTC
,aortic,JJ,OTC
,aneurysms,NNS,OTC
,was,VBD,O
,non-significantly,RB,O
,reduced,VBN,O
,by,IN,O
,8,CD,O
,-EOS-,eos,O
Sentence: 1305,the,DT,O
,benefits,NNS,O
,of,IN,O
,screening,NN,O
,may,MD,O
,increase,VB,O
,with,IN,O
,time,NN,O
,-EOS-,eos,O
Sentence: 1306,mass,NNP,O
,screening,NNP,O
,for,IN,O
,abdominal,JJ,O
,aortic,JJ,O
,aneurysms,NNS,O
,in,IN,O
,Danish,JJ,O
,men,NNS,O
,aged,VBN,O
,65,CD,O
,or,CC,O
,more,JJR,O
,reduces,VBZ,O
,mortality,NN,OTC
,-EOS-,eos,O
Sentence #,Word,POS,Tag
Sentence: 1307,prevention,NNP,O
,of,IN,O
,HIV,NNP,O
,and,CC,O
,sexually,RB,O
,transmitted,VBD,O
,diseases,NNS,O
,in,IN,O
,high,JJ,O
,risk,NN,O
,social,JJ,O
,networks,NNS,O
,of,IN,O
,young,JJ,O
,Roma,NNP,O
,-LRB-,-LRB-,O
,Gypsy,NN,O
,-RRB-,-RRB-,O
,men,NNS,O
,in,IN,O
,Bulgaria,NNP,O
,randomised,JJ,O
,controlled,JJ,O
,trial,NN,O
,-EOS-,eos,O
Sentence: 1308,center,none,O
,for,none,O
,AIDS,none,O
,Intervention,none,O
,Research,none,O
,-LRB-,none,O
,CAIR,none,O
,-RRB-,none,O
,Department,none,O
,of,none,O
,Psychiatry,none,O
,and,none,O
,Behavioral,none,O
,Medicine,none,O
,Medical,none,O
,College,none,O
,of,none,O
,Wisconsin,none,O
,2071,none,O
,North,none,O
,Summit,none,O
,Avenue,none,O
,Milwaukee,none,O
,Wisconsin,none,O
,53202,none,O
,USA,none,O
,-EOS-,eos,O
Sentence: 1309,to,TO,O
,determine,VB,O
,the,DT,O
,effects,NNS,O
,of,IN,O
,a,DT,O
,behavioural,JJ,O
,intervention,NN,O
,for,IN,O
,prevention,NN,OTC
,of,IN,OTC
,HIV,NNP,OTC
,and,CC,OTC
,sexually,RB,OTC
,transmitted,VBD,OTC
,diseases,NNS,OTC
,that,WDT,O
,identified,VBD,O
,trained,JJ,O
,and,CC,O
,engaged,VBD,O
,leaders,NNS,O
,of,IN,O
,Roma,NNP,O
,-LRB-,-LRB-,O
,Gypsy,NN,O
,-RRB-,-RRB-,O
,men,NNS,O
,'s,POS,O
,social,JJ,O
,networks,NNS,O
,to,TO,O
,counsel,VB,O
,their,PRP$,O
,own,JJ,O
,network,NN,O
,members,NNS,O
,-EOS-,eos,O
Sentence: 1310,a,DT,O
,2,CD,O
,arm,NN,O
,randomised,VBD,O
,controlled,JJ,O
,trial,NN,O
,-EOS-,eos,O
Sentence: 1311,a,DT,O
,disadvantaged,JJ,O
,impoverished,JJ,O
,Roma,NNP,O
,settlement,NN,O
,in,IN,O
,Bulgaria,NNP,O
,-EOS-,eos,O
Sentence: 1312,286,CD,O
,Roma,NNP,O
,men,NNS,O
,from,IN,O
,52,CD,O
,social,JJ,O
,networks,NNS,O
,recruited,VBD,O
,in,IN,O
,the,DT,O
,community,NN,O
,-EOS-,eos,O
Sentence: 1313,at,IN,O
,baseline,NN,O
,all,DT,O
,participants,NNS,O
,were,VBD,O
,assessed,VBN,O
,for,IN,O
,HIV,NN,O
,risk,NN,O
,behavior,NN,O
,tested,VBN,O
,and,CC,O
,treated,VBN,O
,for,IN,O
,sexually,RB,O
,transmitted,JJ,O
,diseases,NNS,O
,counselled,VBN,O
,in,IN,O
,risk,NN,O
,reduction,NN,O
,and,CC,O
,randomised,VBN,O
,to,TO,O
,intervention,NN,O
,or,CC,O
,control,NN,O
,groups,NNS,O
,-EOS-,eos,O
Sentence: 1314,network,NNP,O
,leaders,NNS,O
,learned,VBD,O
,how,WRB,O
,to,TO,O
,counsel,VB,O
,their,PRP$,O
,social,JJ,O
,network,NN,O
,members,NNS,O
,on,IN,O
,risk,NN,O
,prevention,NN,O
,-EOS-,eos,O
Sentence: 1315,networks,NNP,O
,were,VBD,O
,followed,VBN,O
,up,RP,O
,3,CD,O
,and,CC,O
,12,CD,O
,months,NNS,O
,after,IN,O
,the,DT,O
,intervention,NN,O
,to,TO,O
,determine,VB,O
,evidence,NN,O
,of,IN,O
,risk,NN,O
,reduction,NN,O
,-EOS-,eos,O
Sentence: 1316,occurrence,NNP,OTC
,of,IN,OTC
,unprotected,JJ,OTC
,intercourse,NN,OTC
,during,IN,OTC
,the,DT,OTC
,3,CD,OTC
,months,NNS,OTC
,before,IN,OTC
,each,DT,OTC
,assessment,NN,OTC
,-EOS-,eos,O
Sentence: 1317,reported,JJ,O
,prevalence,NN,O
,of,IN,O
,unprotected,JJ,OTC
,intercourse,NN,OTC
,in,IN,O
,the,DT,O
,intervention,NN,O
,group,NN,O
,fell,VBD,O
,greater,JJR,O
,than,IN,O
,in,IN,O
,control,NN,O
,group,NN,O
,-LRB-,-LRB-,O
,from,IN,O
,81,CD,O
,and,CC,O
,80,CD,O
,respectively,RB,O
,at,IN,O
,baseline,NN,O
,to,TO,O
,65,CD,O
,and,CC,O
,75,CD,O
,at,IN,O
,3,CD,O
,months,NNS,O
,and,CC,O
,71,CD,O
,and,CC,O
,86,CD,O
,at,IN,O
,12,CD,O
,months,NNS,O
,-RRB-,-RRB-,O
,-EOS-,eos,O
Sentence: 1318,changes,NNS,O
,were,VBD,O
,more,RBR,O
,pronounced,JJ,O
,among,IN,O
,men,NNS,O
,with,IN,O
,casual,JJ,O
,partners,NNS,O
,-EOS-,eos,O
Sentence: 1319,effects,NNPS,O
,remained,VBD,O
,strong,JJ,O
,at,IN,O
,long,JJ,O
,term,NN,O
,follow-up,NN,O
,consistent,JJ,O
,with,IN,O
,changes,NNS,O
,in,IN,O
,risk,NN,O
,reduction,NN,O
,norms,NNS,O
,in,IN,O
,the,DT,O
,social,JJ,O
,network,NN,O
,-EOS-,eos,O
Sentence: 1320,other,JJ,O
,measures,NNS,O
,of,IN,O
,risk,NN,O
,reduction,NN,O
,corroborated,VBD,O
,the,DT,O
,intervention,NN,O
,'s,POS,O
,effects,NNS,O
,-EOS-,eos,O
Sentence: 1321,endorsement,NN,O
,and,CC,O
,advice,NN,O
,on,IN,O
,HIV,NN,O
,prevention,NN,O
,from,IN,O
,the,DT,O
,leader,NN,O
,of,IN,O
,a,DT,O
,social,JJ,O
,network,NN,O
,produces,VBZ,O
,well,RB,O
,maintained,VBD,O
,change,NN,O
,in,IN,O
,the,DT,OTC
,reported,JJ,OTC
,sexual,JJ,OTC
,practices,NNS,OTC
,in,IN,O
,members,NNS,O
,of,IN,O
,that,DT,O
,network,NN,O
,-EOS-,eos,O
Sentence: 1322,this,DT,O
,model,NN,O
,has,VBZ,O
,particular,JJ,O
,relevance,NN,O
,for,IN,O
,health,NN,O
,interventions,NNS,O
,in,IN,O
,populations,NNS,O
,such,JJ,O
,as,IN,O
,Roma,NNP,O
,who,WP,O
,may,MD,O
,be,VB,O
,distrustful,JJ,O
,of,IN,O
,outsiders,NNS,O
,-EOS-,eos,O
Sentence: 1323,clinical,NNP,O
,Trials,NNP,O
,NCT00310973,NNP,O
,-EOS-,eos,O
Sentence: 1324,at,IN,O
,least,JJS,O
,50,CD,O
,of,IN,O
,social,JJ,O
,network,NN,O
,members,NNS,O
,complete,JJ,O
,baseline,NN,O
,assessments,NNS,O
Sentence: 1325,at,IN,O
,least,JJS,O
,50,CD,O
,of,IN,O
,assessed,JJ,O
,members,NNS,O
,of,IN,O
,a,DT,O
,social,JJ,O
,network,NN,O
,report,NN,O
,unprotected,VBD,O
,vaginal,JJ,O
,or,CC,O
,anal,JJ,O
,intercourse,NN,O
,outside,NN,O
,of,IN,O
,a,DT,O
,mutually,RB,O
,monogamous,JJ,O
,relationship,NN,O
,in,IN,O
,the,DT,O
,6,CD,O
,months,NNS,O
,prior,RB,O
,to,TO,O
,study,NN,O
,entry,NN,O
Sentence: 1326,does,VBZ,O
,not,RB,O
,meet,VB,O
,inclusion,NN,O
,criteria,NNS,O
Sentence: 1327,measured,NNP,O
,at,IN,O
,Months,NNS,O
,3,CD,O
,and,CC,O
,12,CD,O
,Reductions,NNP,O
,in,IN,O
,the,DT,O
,prevalence,NN,O
,and,CC,O
,frequency,NN,O
,of,IN,O
,unprotected,JJ,O
,vaginal,JJ,O
,or,CC,O
,anal,JJ,O
,intercourse,NNS,O
Sentence: 1328,measured,NNP,O
,at,IN,O
,Months,NNS,O
,3,CD,O
,and,CC,O
,12,CD,O
,Lower,JJR,O
,incidence,NN,O
,of,IN,O
,sexually,RB,O
,transmitted,JJ,O
,diseases,NNS,O
Sentence: 1329,change,NNP,O
,in,IN,O
,AIDS-related,JJ,O
,scales,NNS,O
Sentence #,Word,POS,Tag
Sentence: 1330,long,JJ,O
,term,NN,O
,results,NNS,O
,of,IN,O
,compression,NN,O
,therapy,NN,O
,alone,RB,O
,versus,CC,O
,compression,NN,O
,plus,CC,O
,surgery,NN,O
,in,IN,O
,chronic,NN,O
,venous,VBZ,O
,ulceration,NN,O
,-LRB-,-LRB-,O
,ESCHAR,NNP,O
,-RRB-,-RRB-,O
,randomised,JJ,O
,controlled,JJ,O
,trial,NN,O
,-EOS-,eos,O
Sentence: 1331,cheltenham,none,O
,General,none,O
,Hospital,none,O
,Cheltenham,none,O
,Gloucester,none,O
,GL53,none,O
,7AN,none,O
,-EOS-,eos,O
Sentence: 1332,to,TO,O
,determine,VB,O
,whether,IN,O
,recurrence,NN,O
,of,IN,O
,leg,NN,O
,ulcers,NNS,O
,may,MD,O
,be,VB,O
,prevented,VBN,O
,by,IN,O
,surgical,JJ,O
,correction,NN,O
,of,IN,O
,superficial,JJ,O
,venous,NNS,O
,reflux,VBD,O
,in,IN,O
,addition,NN,O
,to,TO,O
,compression,NN,O
,-EOS-,eos,O
Sentence: 1333,randomised,NNP,O
,controlled,VBD,O
,trial,NN,O
,-EOS-,eos,O
Sentence: 1334,specialist,JJ,O
,nurse,NN,O
,led,VBD,O
,leg,NN,O
,ulcer,NN,O
,clinics,NNS,O
,in,IN,O
,3,CD,O
,UK,NNP,O
,vascular,NN,O
,centres,NNS,O
,-EOS-,eos,O
Sentence: 1335,500,CD,O
,patients,NNS,O
,-LRB-,-LRB-,O
,500,CD,O
,legs,NNS,O
,-RRB-,-RRB-,O
,with,IN,O
,open,JJ,O
,or,CC,O
,recently,RB,O
,healed,JJ,O
,leg,NN,O
,ulcers,NNS,O
,and,CC,O
,superficial,JJ,O
,venous,NNS,O
,reflux,NN,O
,-EOS-,eos,O
Sentence: 1336,compression,NN,O
,alone,RB,O
,or,CC,O
,compression,NN,O
,plus,NN,O
,saphenous,VBZ,O
,surgery,NN,O
,-EOS-,eos,O
Sentence: 1337,primary,JJ,O
,outcomes,NNS,O
,were,VBD,O
,ulcer,NN,OTC
,healing,NN,OTC
,and,CC,O
,ulcer,NN,OTC
,recurrence,NN,OTC
,-EOS-,eos,O
Sentence: 1338,the,DT,O
,secondary,JJ,O
,outcome,NN,O
,was,VBD,O
,ulcer,VBN,OTC
,free,JJ,OTC
,time,NN,OTC
,-EOS-,eos,O
Sentence: 1339,ulcer,JJ,OTC
,healing,NN,OTC
,rates,NNS,OTC
,at,IN,O
,3,CD,O
,years,NNS,O
,were,VBD,O
,89,CD,O
,for,IN,O
,the,DT,O
,compression,NN,O
,group,NN,O
,and,CC,O
,93,CD,O
,for,IN,O
,the,DT,O
,compression,NN,O
,plus,CC,O
,surgery,NN,O
,group,NN,O
,-LRB-,-LRB-,O
,P,NNP,O
,=,NNP,O
,0.73,NNP,O
,log,NN,O
,rank,NN,O
,test,NN,O
,-RRB-,-RRB-,O
,-EOS-,eos,O
Sentence: 1340,rates,NNS,OTC
,of,IN,OTC
,ulcer,NN,OTC
,recurrence,NN,OTC
,at,IN,O
,4,CD,O
,years,NNS,O
,were,VBD,O
,56,CD,O
,for,IN,O
,the,DT,O
,compression,NN,O
,group,NN,O
,and,CC,O
,31,CD,O
,for,IN,O
,the,DT,O
,compression,NN,O
,plus,CC,O
,surgery,NN,O
,group,NN,O
,-LRB-,-LRB-,O
,P,NNP,O
,less,JJR,O
,than,IN,O
,0.01,CD,O
,-RRB-,-RRB-,O
,-EOS-,eos,O
Sentence: 1341,for,IN,OTC
,patients,NNS,OTC
,with,IN,OTC
,isolated,JJ,OTC
,superficial,JJ,OTC
,reflux,NN,OTC
,recurrence,NN,OTC
,rates,NNS,OTC
,at,IN,OTC
,4,CD,OTC
,years,NNS,OTC
,were,VBD,O
,51,CD,O
,for,IN,O
,the,DT,O
,compression,NN,O
,group,NN,O
,and,CC,O
,27,CD,O
,for,IN,O
,the,DT,O
,compress,NNS,O
,plus,CC,O
,surgery,NN,O
,group,NN,O
,-LRB-,-LRB-,O
,P,NNP,O
,less,JJR,O
,than,IN,O
,0.01,CD,O
,-RRB-,-RRB-,O
,-EOS-,eos,O
Sentence: 1342,for,IN,OTC
,patients,NNS,OTC
,who,WP,OTC
,had,VBD,OTC
,superficial,VBN,OTC
,with,IN,OTC
,segmental,JJ,OTC
,deep,JJ,OTC
,reflux,NN,OTC
,recurrence,NN,OTC
,rates,NNS,OTC
,at,IN,OTC
,3,CD,OTC
,years,NNS,OTC
,were,VBD,O
,52,CD,O
,for,IN,O
,the,DT,O
,compression,NN,O
,group,NN,O
,and,CC,O
,24,CD,O
,for,IN,O
,the,DT,O
,compression,NN,O
,plus,CC,O
,surgery,NN,O
,group,NN,O
,-LRB-,-LRB-,O
,P,NNP,O
,=,CD,O
,0.04,CD,O
,-RRB-,-RRB-,O
,-EOS-,eos,O
Sentence: 1343,for,IN,OTC
,patients,NNS,OTC
,with,IN,OTC
,superficial,JJ,OTC
,and,CC,OTC
,total,JJ,OTC
,deep,JJ,OTC
,reflux,NNS,OTC
,recurrence,NN,OTC
,rates,NNS,OTC
,at,IN,OTC
,3,CD,OTC
,years,NNS,OTC
,were,VBD,O
,46,CD,O
,for,IN,O
,the,DT,O
,compression,NN,O
,group,NN,O
,and,CC,O
,32,CD,O
,for,IN,O
,the,DT,O
,compression,NN,O
,plus,CC,O
,surgery,NN,O
,group,NN,O
,-LRB-,-LRB-,O
,P,NNP,O
,=,CD,O
,0.33,CD,O
,-RRB-,-RRB-,O
,-EOS-,eos,O
Sentence: 1344,patients,NNS,O
,in,IN,O
,the,DT,O
,compression,NN,O
,plus,CC,O
,surgery,NN,O
,group,NN,O
,experienced,VBD,O
,a,DT,O
,greater,JJR,O
,proportion,NN,OTC
,of,IN,OTC
,ulcer,NN,OTC
,free,JJ,OTC
,time,NN,OTC
,after,IN,O
,3,CD,O
,years,NNS,O
,compared,VBN,O
,with,IN,O
,patients,NNS,O
,in,IN,O
,the,DT,O
,compression,JJ,O
,group,NN,O
,-LRB-,-LRB-,O
,78,CD,O
,versus,IN,O
,71,CD,O
,P,NNP,O
,=,SYM,O
,0.007,CD,O
,Mann-Whitney,NNP,O
,U,NNP,O
,test,NN,O
,-RRB-,-RRB-,O
,-EOS-,eos,O
Sentence: 1345,surgical,NNP,O
,correction,NN,O
,of,IN,O
,superficial,JJ,O
,venous,NNS,O
,reflux,NN,O
,in,IN,O
,addition,NN,O
,to,TO,O
,compression,NN,O
,bandaging,NN,O
,does,VBZ,O
,not,RB,O
,improve,VB,O
,ulcer,NN,O
,healing,NN,O
,but,CC,O
,reduces,VBZ,O
,the,DT,O
,recurrence,NN,O
,of,IN,O
,ulcers,NNS,O
,at,IN,O
,4,CD,O
,years,NNS,O
,and,CC,O
,results,NNS,O
,in,IN,O
,a,DT,O
,greater,JJR,O
,proportion,NN,O
,of,IN,O
,ulcer,NN,O
,free,JJ,O
,time,NN,O
,-EOS-,eos,O
Sentence: 1346,current,NNP,O
,Controlled,NNP,O
,Trials,NNP,O
,ISRCTN07549334,NNP,O
,-LRB-,-LRB-,O
,controlled-trials,NNP,O
,-EOS-,eos,O
Sentence #,Word,POS,Tag
Sentence: 1347,comparison,NNP,O
,of,IN,O
,laparoscopic,JJ,O
,and,CC,O
,mini,JJ,O
,incision,NN,O
,open,VBP,O
,donor,NN,O
,nephrectomy,NN,O
,single,JJ,O
,blind,JJ,O
,randomised,VBD,O
,controlled,JJ,O
,clinical,JJ,O
,trial,NN,O
,-EOS-,eos,O
Sentence: 1348,department,none,O
,of,none,O
,Surgery,none,O
,Erasmus,none,O
,MC,none,O
,PO,none,O
,Box,none,O
,2040,none,O
,3000,none,O
,CA,none,O
,Rotterdam,none,O
,Netherlands,none,O
,-EOS-,eos,O
Sentence: 1349,to,TO,O
,determine,VB,O
,the,DT,O
,best,JJS,O
,approach,NN,O
,for,IN,O
,live,JJ,O
,donor,NN,O
,nephrectomy,NN,O
,to,TO,O
,minimize,VB,O
,discomfort,NN,OTC
,to,TO,OTC
,the,DT,OTC
,donor,NN,OTC
,and,CC,O
,to,TO,O
,provide,VB,O
,good,JJ,OTC
,graft,NN,OTC
,function,NN,OTC
,-EOS-,eos,O
Sentence: 1350,single,RB,O
,blind,JJ,O
,randomised,VBD,O
,controlled,JJ,O
,trial,NN,O
,-EOS-,eos,O
Sentence: 1351,2,CD,O
,university,NN,O
,medical,JJ,O
,centres,NNS,O
,the,DT,O
,Netherlands,NNPS,O
,-EOS-,eos,O
Sentence: 1352,100,CD,O
,living,VBG,O
,kidney,NN,O
,donors,NNS,O
,-EOS-,eos,O
Sentence: 1353,participants,NNS,O
,were,VBD,O
,randomly,RB,O
,assigned,VBN,O
,to,TO,O
,either,DT,O
,laparoscopic,JJ,O
,donor,NN,O
,nephrectomy,NN,O
,or,CC,O
,to,TO,O
,mini,JJ,O
,incision,NN,O
,muscle,NN,O
,splitting,VBG,O
,open,JJ,O
,donor,NN,O
,nephrectomy,RB,O
,-EOS-,eos,O
Sentence: 1354,the,DT,O
,primary,JJ,O
,outcome,NN,O
,was,VBD,O
,physical,JJ,OTC
,fatigue,VBP,OTC
,using,VBG,OTC
,the,DT,OTC
,multidimensional,JJ,OTC
,fatigue,NN,OTC
,inventory,NN,OTC
,20,CD,OTC
,-LRB-,-LRB-,OTC
,MFI-20,NNP,OTC
,-RRB-,-RRB-,OTC
,-EOS-,eos,O
Sentence: 1355,secondary,JJ,O
,outcomes,NNS,O
,were,VBD,O
,physical,JJ,OTC
,function,NN,OTC
,using,VBG,OTC
,the,DT,OTC
,SF-36,NN,OTC
,hospital,NN,OTC
,stay,VBP,OTC
,after,IN,OTC
,surgery,NN,OTC
,pain,NN,OTC
,operating,NN,OTC
,times,NNS,OTC
,recipient,JJ,OTC
,graft,NN,OTC
,function,NN,OTC
,and,CC,O
,graft,NN,OTC
,survival,NN,OTC
,-EOS-,eos,O
Sentence: 1356,conversions,NNS,O
,did,VBD,O
,not,RB,O
,occur,VB,O
,-EOS-,eos,O
Sentence: 1357,compared,VBN,O
,with,IN,O
,mini,JJ,O
,incision,NN,O
,open,JJ,O
,donor,NN,O
,nephrectomy,NN,O
,laparoscopic,JJ,O
,donor,NN,O
,nephrectomy,RB,O
,resulted,VBD,O
,in,IN,O
,longer,JJR,O
,skin,NN,OTC
,to,TO,OTC
,skin,NN,OTC
,time,NN,OTC
,-LRB-,-LRB-,O
,median,CD,O
,221,CD,O
,versus,IN,O
,164,JJ,O
,minutes,NNS,O
,P,NNP,O
,less,JJR,O
,than,IN,O
,0.001,CD,O
,-RRB-,-RRB-,O
,longer,JJR,O
,warm,JJ,OTC
,ischemia,NN,OTC
,time,NN,OTC
,-LRB-,-LRB-,O
,6,CD,O
,versus,IN,O
,3,CD,O
,minutes,NNS,O
,P,NNP,O
,less,JJR,O
,than,IN,O
,0.001,CD,O
,-RRB-,-RRB-,O
,less,JJR,O
,blood,NN,OTC
,loss,NN,OTC
,-LRB-,-LRB-,O
,100,CD,O
,versus,IN,O
,240,CD,O
,ml,NN,O
,P,NNP,O
,less,JJR,O
,than,IN,O
,0.001,CD,O
,-RRB-,-RRB-,O
,and,CC,O
,a,DT,O
,similar,JJ,O
,number,NN,OTC
,of,IN,OTC
,complications,NNS,OTC
,-LRB-,-LRB-,O
,intraoperatively,NN,O
,12,CD,O
,versus,IN,O
,6,CD,O
,P,NNP,O
,=,SYM,O
,0.49,CD,O
,postoperatively,NN,O
,both,CC,O
,6,CD,O
,-RRB-,-RRB-,O
,-EOS-,eos,O
Sentence: 1358,after,IN,O
,laparoscopic,JJ,O
,nephrectomy,NN,O
,donors,NNS,O
,required,VBD,O
,less,RBR,O
,morphine,JJ,OTC
,-LRB-,-LRB-,O
,16,CD,O
,versus,IN,O
,25,CD,O
,mg,NN,O
,P,NNP,O
,=,SYM,O
,0.005,CD,O
,-RRB-,-RRB-,O
,and,CC,O
,shorter,JJR,O
,hospital,NN,OTC
,stay,NN,OTC
,-LRB-,-LRB-,O
,3,CD,O
,versus,IN,O
,4,CD,O
,days,NNS,O
,P,NNP,O
,=,SYM,O
,0.003,CD,O
,-RRB-,-RRB-,O
,-EOS-,eos,O
Sentence: 1359,during,IN,O
,1,CD,O
,year,NN,O
,'s,POS,O
,follow-up,NN,O
,mean,VBP,OTC
,physical,JJ,OTC
,fatigue,NN,OTC
,was,VBD,O
,less,JJR,O
,-LRB-,-LRB-,O
,difference,NN,O
,-1.3,CD,O
,SPECIAL_TERM,NNP,O
,-2.4,CD,O
,to,TO,O
,-0.1,CD,O
,-RRB-,-RRB-,O
,and,CC,O
,physical,JJ,OTC
,function,NN,OTC
,was,VBD,O
,better,JJR,O
,-LRB-,-LRB-,O
,difference,NN,O
,6.2,CD,O
,2.0,CD,O
,to,TO,O
,10.3,CD,O
,-RRB-,-RRB-,O
,after,IN,O
,laparoscopic,JJ,O
,nephrectomy,NN,O
,-EOS-,eos,O
Sentence: 1360,function,NNP,OTC
,of,IN,OTC
,the,DT,OTC
,graft,NN,OTC
,and,CC,O
,graft,NN,OTC
,survival,NN,OTC
,rate,NN,OTC
,of,IN,OTC
,the,DT,OTC
,recipient,NN,OTC
,at,IN,O
,1,CD,O
,year,NN,O
,censored,VBN,O
,for,IN,O
,death,NN,O
,did,VBD,O
,not,RB,O
,differ,VB,O
,-LRB-,-LRB-,O
,100,CD,O
,after,IN,O
,laparoscopic,JJ,O
,nephrectomy,NN,O
,and,CC,O
,98,CD,O
,after,IN,O
,open,JJ,O
,nephrectomy,NN,O
,-RRB-,-RRB-,O
,-EOS-,eos,O
Sentence: 1361,laparoscopic,JJ,O
,donor,NN,O
,nephrectomy,RB,O
,results,VBZ,O
,in,IN,O
,a,DT,O
,better,JJR,O
